mode,status,family,case,boundary_model,classification,shape,size,restickify_count,bytes_moved,byte_hops,avg_hops,max_hops,source_kinds,skip_reasons,compile_run_ms,median_ms,p10_ms,p90_ms,error_type,error,hbm_oneway_us,hbm_roundtrip_us,riu_aggregate_us,riu_one_direction_us,lx_balanced_us,lx_single_core_us
baseline,ok,linear_weight,linear_weight_transposed,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,"tokens=128,hidden=128,out=128",128,1,32768,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1059.058,0.057,0.052,0.058,,,0.197,0.395,0.000,0.000,0.015,0.468
stage3b,ok,linear_weight,linear_weight_transposed,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,"tokens=128,hidden=128,out=128",128,1,32768,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1111.955,0.055,0.049,0.060,,,0.197,0.395,0.000,0.000,0.015,0.468
baseline,ok,linear_weight,linear_weight_transposed,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,"tokens=512,hidden=512,out=512",512,1,524288,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1560.333,0.078,0.076,0.079,,,3.158,6.317,0.000,0.000,0.234,7.490
stage3b,ok,linear_weight,linear_weight_transposed,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,"tokens=512,hidden=512,out=512",512,1,524288,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1632.079,0.077,0.074,0.080,,,3.158,6.317,0.000,0.000,0.234,7.490
baseline,ok,linear_weight,linear_weight_transposed,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,"tokens=1024,hidden=1024,out=1024",1024,1,2097152,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1780.492,0.169,0.167,0.173,,,12.633,25.267,0.000,0.000,0.936,29.959
stage3b,ok,linear_weight,linear_weight_transposed,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,"tokens=1024,hidden=1024,out=1024",1024,1,2097152,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1787.249,0.173,0.171,0.177,,,12.633,25.267,0.000,0.000,0.936,29.959
baseline,ok,linear_weight,linear_weight_transposed,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,"tokens=2048,hidden=2048,out=2048",2048,1,8388608,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1827.411,0.854,0.844,0.858,,,50.534,101.068,0.000,0.000,3.745,119.837
stage3b,ok,linear_weight,linear_weight_transposed,graph_input_or_weight,hbm_or_graph_input_boundary_plausible,"tokens=2048,hidden=2048,out=2048",2048,1,8388608,0,0.000,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",1816.352,0.851,0.845,0.861,,,50.534,101.068,0.000,0.000,3.745,119.837
baseline,ok,producer_to_matmul,matmul_both_inputs_upstream_conflict,in_graph_computed,hbm_or_graph_input_boundary_plausible,128x128,128,2,65536,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",1509.487,0.083,0.075,0.087,,,0.395,0.790,0.000,0.000,0.029,0.936
stage3b,ok,producer_to_matmul,matmul_both_inputs_upstream_conflict,in_graph_computed,hbm_or_graph_input_boundary_plausible,128x128,128,2,65536,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",1665.314,0.084,0.076,0.087,,,0.395,0.790,0.000,0.000,0.029,0.936
baseline,ok,producer_to_matmul,matmul_both_inputs_upstream_conflict,in_graph_computed,hbm_or_graph_input_boundary_plausible,512x512,512,2,1048576,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",2224.487,0.129,0.126,0.132,,,6.317,12.633,0.000,0.000,0.468,14.980
stage3b,ok,producer_to_matmul,matmul_both_inputs_upstream_conflict,in_graph_computed,hbm_or_graph_input_boundary_plausible,512x512,512,2,1048576,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",2193.485,0.134,0.129,0.137,,,6.317,12.633,0.000,0.000,0.468,14.980
baseline,ok,producer_to_matmul,matmul_both_inputs_upstream_conflict,in_graph_computed,hbm_or_graph_input_boundary_plausible,1024x1024,1024,2,4194304,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",2414.066,0.353,0.347,0.360,,,25.267,50.534,0.000,0.000,1.872,59.919
stage3b,ok,producer_to_matmul,matmul_both_inputs_upstream_conflict,in_graph_computed,hbm_or_graph_input_boundary_plausible,1024x1024,1024,2,4194304,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",2372.082,0.354,0.342,0.360,,,25.267,50.534,0.000,0.000,1.872,59.919
baseline,ok,producer_to_matmul,matmul_both_inputs_upstream_conflict,in_graph_computed,hbm_or_graph_input_boundary_plausible,2048x2048,2048,2,16777216,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",2616.225,1.553,1.539,1.577,,,101.068,202.135,0.000,0.000,7.490,239.675
stage3b,ok,producer_to_matmul,matmul_both_inputs_upstream_conflict,in_graph_computed,hbm_or_graph_input_boundary_plausible,2048x2048,2048,2,16777216,0,0.000,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",2680.235,1.560,1.543,1.591,,,101.068,202.135,0.000,0.000,7.490,239.675
baseline,ok,matmul,matmul_control,control_no_restickify,control_no_restickify,128x128,128,0,0,0,0.000,0,{},{},1110.289,0.050,0.046,0.055,,,0.000,0.000,0.000,0.000,0.000,0.000
stage3b,ok,matmul,matmul_control,control_no_restickify,control_no_restickify,128x128,128,0,0,0,0.000,0,{},{},934.624,0.051,0.045,0.056,,,0.000,0.000,0.000,0.000,0.000,0.000
baseline,ok,matmul,matmul_control,control_no_restickify,control_no_restickify,512x512,512,0,0,0,0.000,0,{},{},1249.041,0.069,0.067,0.071,,,0.000,0.000,0.000,0.000,0.000,0.000
stage3b,ok,matmul,matmul_control,control_no_restickify,control_no_restickify,512x512,512,0,0,0,0.000,0,{},{},1230.056,0.066,0.065,0.069,,,0.000,0.000,0.000,0.000,0.000,0.000
baseline,ok,matmul,matmul_control,control_no_restickify,control_no_restickify,1024x1024,1024,0,0,0,0.000,0,{},{},1414.434,0.129,0.126,0.130,,,0.000,0.000,0.000,0.000,0.000,0.000
stage3b,ok,matmul,matmul_control,control_no_restickify,control_no_restickify,1024x1024,1024,0,0,0,0.000,0,{},{},1481.762,0.128,0.126,0.131,,,0.000,0.000,0.000,0.000,0.000,0.000
baseline,ok,matmul,matmul_control,control_no_restickify,control_no_restickify,2048x2048,2048,0,0,0,0.000,0,{},{},1585.775,0.703,0.698,0.707,,,0.000,0.000,0.000,0.000,0.000,0.000
stage3b,ok,matmul,matmul_control,control_no_restickify,control_no_restickify,2048x2048,2048,0,0,0,0.000,0,{},{},1486.163,0.702,0.691,0.705,,,0.000,0.000,0.000,0.000,0.000,0.000
