file,op,cores,work_slices,classified,classification,communication_class,restickify_op
sdsc_52.json,52_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_53.json,53_ReStickifyOpLx,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_54.json,54_batchmatmul,32,"{""in"": 1, ""mb"": 8, ""out"": 1, ""x"": 4}",True,layout_allgather_restickify,all_gather,ReStickifyOpLx
sdsc_55.json,55_add,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_56.json,56_max,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_57.json,57_maximum,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_58.json,58_sub,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_59.json,59_exp,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_60.json,60_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_61.json,61_sub,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_62.json,62_exp,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_63.json,63_batchmatmul,32,"{""in"": 1, ""mb"": 8, ""out"": 1, ""x"": 4}",False,,,
sdsc_64.json,64_add,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_65.json,65_mul,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_66.json,66_sum,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_67.json,67_add,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
