phase,mode,artifact,status,scenario,case,shape,size,restickify_count,total_bytes,ring_rows,ring_total_bytes,ring_total_byte_hops,ring_avg_hops,ring_max_hops,ring_source_kinds,ring_skip_reasons,ring_exact_rows,ring_skipped_rows,median_ms,p10_ms,p90_ms,error_type,error
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,2048x2048,2048,2,16777216,2,16777216,0,0.0,0,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,matmul_to_pointwise,matmul_then_add,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,view_chain,transpose_chain,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,fanout_diamond,fanout_diamond,2048x2048,2048,2,16777216,2,16777216,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,view_chain,transpose_4d_chain,1x4x2048x64,2048,1,1048576,1,1048576,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,graph_input_or_weight,linear_weight_transposed,"tokens=2048,hidden=2048,out=2048",2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-long/restickify_scenarios.jsonl,ok,prefill_model_slice,prefill_projection_join,"tokens=65536,hidden=512",65536,2,134217728,2,134217728,0,0.0,0,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,prefill_model_slice,prefill_projection_join,"tokens=512,hidden=512",512,2,1048576,2,1048576,655360,0.625,3,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,decode_model_slice,decode_projection_join,"active_tokens=512,hidden=512",512,2,1048576,2,1048576,655360,0.625,3,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,mlp_model_slice,mlp_gated_projection_join,"tokens=512,hidden=512,intermediate=512",512,2,1048576,2,1048576,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,attention_model_slice,attention_prefill_no_softmax,"batch=1,heads=4,seq=512,head_dim=64",512,2,2359296,2,2359296,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,attention_forward_block_stress,attention_score_join_value_projection,"tokens=512,hidden=2048",512,2,2621440,2,2621440,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,mamba_model_slice,mamba_chunk_projection_join,"batch=1,seq=512,hidden=512",512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,moe_model_slice,moe_two_expert_join,"tokens=512,hidden=512,experts=2",512,2,1048576,2,1048576,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,prefill_model_slice,prefill_projection_join,"tokens=2048,hidden=512",2048,2,4194304,2,4194304,2621440,0.625,3,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,decode_model_slice,decode_projection_join,"active_tokens=2048,hidden=512",2048,2,4194304,2,4194304,2621440,0.625,3,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,mlp_model_slice,mlp_gated_projection_join,"tokens=2048,hidden=512,intermediate=512",2048,2,4194304,2,4194304,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,attention_model_slice,attention_prefill_no_softmax,"batch=1,heads=4,seq=2048,head_dim=64",2048,2,34603008,2,34603008,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,attention_forward_block_stress,attention_score_join_value_projection,"tokens=2048,hidden=2048",2048,2,16777216,2,16777216,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,mamba_model_slice,mamba_chunk_projection_join,"batch=1,seq=2048,hidden=512",2048,1,2097152,1,2097152,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-model/restickify_scenarios.jsonl,ok,moe_model_slice,moe_two_expert_join,"tokens=2048,hidden=512,experts=2",2048,2,4194304,2,4194304,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
timed,base,timed-base/adds_then_matmul_128/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,128x128,128,2,65536,2,65536,286720,4.375,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.08080154657363892,0.07745623588562012,0.08631311357021332,,
timed,base,timed-base/adds_then_matmul_2048/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,2048x2048,2048,2,16777216,2,16777216,67108864,4.0,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,1.5573371201753616,1.5426352620124817,1.5768278390169144,,
timed,base,timed-base/adds_then_matmul_512/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,512x512,512,2,1048576,2,1048576,1376256,1.3125,7,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.12870971113443375,0.1252889633178711,0.1330804079771042,,
timed,base,timed-base/attention_prefill_no_softmax_2048/restickify_scenarios.jsonl,ok,attention_model_slice,attention_prefill_no_softmax,"batch=1,heads=4,seq=2048,head_dim=64",2048,2,34603008,2,34603008,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,3.0116159468889236,2.9944684356451035,3.0289236456155777,,
timed,base,timed-base/attention_score_join_value_projection_2048/restickify_scenarios.jsonl,ok,attention_forward_block_stress,attention_score_join_value_projection,"tokens=2048,hidden=2048",2048,2,16777216,2,16777216,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,2.4005360901355743,2.3728404194116592,2.4181976914405823,,
timed,base,timed-base/decode_projection_join_2048/restickify_scenarios.jsonl,ok,decode_model_slice,decode_projection_join,"active_tokens=2048,hidden=512",2048,2,4194304,2,4194304,16777216,4.0,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.3420170396566391,0.33109448850154877,0.3701522946357727,,
timed,base,timed-base/decode_projection_join_512/restickify_scenarios.jsonl,ok,decode_model_slice,decode_projection_join,"active_tokens=512,hidden=512",512,2,1048576,2,1048576,1376256,1.3125,7,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,0.1288820058107376,0.1256745308637619,0.13274885714054108,,
timed,base,timed-base/fanout_diamond_2048/restickify_scenarios.jsonl,ok,fanout_diamond,fanout_diamond,2048x2048,2048,2,16777216,2,16777216,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,1.3603996485471725,1.346193253993988,1.3749171048402786,,
timed,base,timed-base/linear_weight_transposed_2048/restickify_scenarios.jsonl,ok,graph_input_or_weight,linear_weight_transposed,"tokens=2048,hidden=2048,out=2048",2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,0.8541205897927284,0.8496493101119995,0.8588191121816635,,
