json_file,root,op,cores,tensor,role,loc,layout_wkslices,address,coreIdToWkSlice,schedule
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_16.json,16_batchmatmul,batchmatmul,32,1_Tensor1,KERNEL,hbm+lx,"layout=out,in,x; stick=out; stick_size=[64]",-0x177,in=0 mb=core_id out=0 x=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_16.json,16_batchmatmul,batchmatmul,32,2_Tensor2,OUTPUT,lx,"layout=out,mb,x; stick=out; stick_size=[64]",0x0,in=0 mb=core_id out=0 x=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_17.json,17_identity,identity,32,0_Tensor0,OUTPUT,lx,"layout=out,x,mb; stick=out; stick_size=[64]",0x0,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_17.json,17_identity,identity,32,1_Tensor1,OUTPUT,hbm+lx,"layout=out,x,mb; stick=out; stick_size=[64]",-0x197..-0x178 (32 unique),mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_2.json,2_mul,mul,32,0_Tensor0,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x40000,mb=core_id out=0 x=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_2.json,2_mul,mul,32,1_Tensor1,OUTPUT,hbm+lx,"layout=mb,out,x; stick=out; stick_size=[64]",-0x41,mb=core_id out=0 x=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_2.json,2_mul,mul,32,2_Tensor2,OUTPUT,hbm+lx,"layout=mb,out,x; stick=out; stick_size=[64]",-0x61..-0x42 (32 unique),mb=core_id out=0 x=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_3.json,3_mul,mul,32,0_Tensor0,OUTPUT,hbm+lx,"layout=out,y,mb,i,x; stick=i; stick_size=[64]",-0x81..-0x62 (32 unique),i=0 mb=core_id out=0 x=0 y=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_3.json,3_mul,mul,32,1_Tensor1,OUTPUT,hbm+lx,"layout=out,y,mb,i,x; stick=i; stick_size=[64]",-0xa2..-0x83 (32 unique),i=0 mb=core_id out=0 x=0 y=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_3.json,3_mul,mul,32,2_Tensor2,OUTPUT,lx,"layout=out,y,mb,i,x; stick=i; stick_size=[64]",0x0,i=0 mb=core_id out=0 x=0 y=0,"all [[-1,0,0,0]]"
